Session,UserId,Round,Mental,Physical,Temporal,Performance,Effort,Frustraion
1,1,1,1,6,9,4,4,2
1,2,1,11,6,6,4,5,2
1,2,2,14,9,5,4,9,2
1,1,2,1,2,9,2,2,1
1,2,3,6,6,5,3,9,3
1,1,3,1,8,6,1,1,1
2,4,3,1,3,2,2,2,1
2,4,2,3,4,2,3,2,1
2,4,1,9,3,3,4,5,2
2,3,3,4,19,4,3,11,7
2,3,2,4,18,4,4,9,2
2,3,1,11,16,1,3,15,2
4,6,3,2,2,2,4,6,5
4,5,3,1,3,1,1,4,3
4,5,2,1,3,2,1,4,4
4,6,2,2,2,2,6,6,8
4,5,1,2,6,1,1,10,2
4,6,1,2,2,2,7,7,15
5,8,3,3,4,3,11,11,9
5,8,2,3,5,3,4,4,8
5,8,1,4,6,2,4,8,8
5,7,1,2,14,2,2,5,4
5,7,3,2,19,2,2,11,5
5,7,2,2,15,2,2,5,3
6,9,3,8,18,14,7,11,13
6,9,2,6,14,6,9,10,15
6,9,1,5,14,11,7,10,14
6,10,3,5,8,5,11,6,9
6,10,2,4,7,4,13,5,14
6,10,1,2,9,5,7,7,15
7,12,3,9,6,11,5,6,4
7,12,2,13,4,11,12,11,8
7,12,1,16,6,6,15,12,11
7,11,3,2,12,7,2,5,9
7,11,2,2,15,9,2,4,4
7,11,1,3,13,9,5,3,7
8,14,3,2,2,3,3,2,2
8,14,2,2,2,2,2,2,1
8,14,1,1,1,2,3,1,1
8,13,3,1,3,11,7,3,6
8,13,2,2,15,11,3,7,14
8,13,1,2,15,11,2,7,11
9,16,3,4,5,4,3,6,3
9,16,2,5,6,6,4,5,3
9,16,1,11,6,3,3,7,3
9,15,3,6,14,11,9,10,9
9,15,2,6,15,15,14,9,15
9,15,1,11,15,10,9,12,13
10,17,3,4,13,7,5,6,3
10,17,2,4,6,4,7,8,3
10,17,1,3,11,6,6,11,2
10,18,3,14,14,8,13,15,13
10,18,2,12,13,11,11,13,10
10,18,1,6,11,12,4,6,5
11,20,3,7,6,3,5,6,5
11,20,2,6,6,4,3,4,7
11,19,3,5,11,6,4,6,5
11,19,2,3,11,5,6,12,7
11,19,1,4,9,6,7,15,6
11,20,1,2,6,5,3,10,5
12,22,3,4,5,5,7,11,10
12,22,2,5,6,1,5,11,11
12,22,1,5,8,4,6,5,14
12,21,3,3,12,4,4,4,4
12,21,2,3,12,3,6,6,4
12,21,1,3,10,4,3,3,2
13,23,3,3,11,7,12,15,8
13,23,2,3,12,7,13,14,10
13,23,1,2,11,6,11,15,8
13,24,3,5,5,2,5,2,5
13,24,2,3,2,2,11,19,2
13,24,1,5,2,2,11,19,3
14,25,1,2,14,7,3,7,14
14,25,2,1,15,5,6,4,11
14,25,3,1,15,6,4,5,13
14,26,1,8,7,10,7,13,11
14,26,2,9,6,13,4,15,13
14,26,3,14,7,14,4,14,11
15,27,3,2,14,4,7,6,8
15,27,2,2,13,5,6,7,7
15,27,1,3,16,9,8,13,7
15,28,3,6,6,6,11,6,2
15,28,2,5,5,7,11,7,3
15,28,1,8,4,7,8,8,2
